Species List,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Barred Owl,2,0,0,1,1,3,3,4,4,3,4,0,1,6,3,2,0,7,3,4,4,2,6,6,4,8,5,12,14,11,20,14,14,19,17,19,14,20,20,24,23,31,23,17,13,19,24,32,44,26,18,22,28
Belted Kingfisher,7,3,8,6,6,9,17,9,14,15,9,14,13,8,11,5,5,10,4,5,7,10,8,14,17,12,15,15,21,21,18,18,14,24,17,23,19,18,7,25,16,20,18,18,18,22,10,24,17,15,14,17,13
Red-headed Woodpecker,36,24,17,11,25,25,21,13,15,23,8,19,14,11,10,14,14,20,10,7,21,8,26,21,33,23,51,40,42,18,37,42,29,31,27,34,66,44,69,58,69,57,61,69,72,66,95,99,99,76,67,82,87
Red-bellied Woodpecker,99,113,115,166,115,172,148,173,146,141,136,187,158,120,180,124,76,125,130,107,165,147,167,128,356,350,387,325,480,470,531,372,402,503,555,642,781,625,686,655,694,641,688,597,685,814,807,774,782,774,695,819,835
Yellow-bellied Sapsucker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
Downy Woodpecker,45,27,30,27,28,51,50,51,29,55,43,75,64,53,77,66,79,60,58,49,72,56,82,59,135,116,166,124,181,262,152,210,172,194,241,290,245,210,192,243,278,246,254,146,221,285,341,246,214,209,288,256,240
Red-cockaded Woodpecker,2,3,0,0,0,2,4,0,4,0,0,0,2,4,2,4,2,0,0,2,0,5,0,0,4,1,2,12,9,14,9,8,12,12,11,7,9,4,6,9,6,8,16,15,5,7,14,6,8,4,7,4,6
Hairy Woodpecker,3,6,7,5,4,6,12,7,2,6,5,4,8,2,8,5,7,4,15,7,13,10,12,6,12,16,25,27,38,45,27,21,27,36,54,52,48,46,37,31,59,34,38,33,40,43,49,37,47,45,41,36,34
(Yellow-shafted Flicker) Northern Flicker,101,107,116,107,92,161,133,142,111,105,90,117,95,79,74,40,59,62,70,50,81,61,71,59,134,137,181,155,188,203,141,114,146,129,163,141,141,155,176,155,158,111,122,124,150,134,147,133,150,151,166,125,127
Pileated Woodpecker,11,15,18,17,4,25,28,42,21,54,13,38,33,25,30,40,44,38,47,35,48,53,66,53,73,61,109,119,183,214,169,151,146,184,169,196,232,157,207,233,198,198,187,193,155,177,244,209,257,272,236,241,192
unid. woodpecker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,10,16,8,8,7,7,14,7,6,8,11,9,6
